2026-05-30 23:13:29 | INFO | detector | [SANDBOX_TEST] 🚀 Мониторинг делистингов запущен.
2026-05-30 23:13:29 | INFO | bot | [SANDBOX_TEST] 🔑 Phemex API ключи обнаружены. Приватный WS запущен.
2026-05-30 23:13:30 | INFO | detector | [SANDBOX_TEST] Обновлен список делистингов биржи: 123 монет(ы)
2026-05-30 23:13:30 | INFO | api | [SANDBOX_TEST] 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-30 23:13:30 | ERROR | api | [SANDBOX_TEST] ❌ Ошибка авторизации: {'code': 6012, 'message': 'invalid login token'}
2026-05-30 23:14:30 | INFO | api | [SANDBOX_TEST] 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-30 23:14:30 | ERROR | api | [SANDBOX_TEST] ❌ Ошибка авторизации: {'code': 6012, 'message': 'invalid login token'}
2026-05-30 23:15:14 | ERROR | api | [SANDBOX_TEST] Private WS Переподключение: 403, message='Invalid response status', url='wss://testnet-api.phemex.com/ws'
2026-05-30 23:16:16 | ERROR | api | [SANDBOX_TEST] Private WS Переподключение: 403, message='Invalid response status', url='wss://testnet-api.phemex.com/ws'
2026-05-30 23:16:28 | INFO | bot | [SANDBOX_TEST] 🧹 Завершение работы приложения, очистка ресурсов...
2026-05-30 23:16:28 | INFO | detector | [SANDBOX_TEST] 🛑 Мониторинг делистингов остановлен.
2026-05-30 23:16:28 | INFO | bot | [SANDBOX_TEST] 🛑 Приватный WS и мониторинг остановлены.
2026-05-30 23:22:25 | INFO | bot | 🔥 Режим: [PRODUCTION]. Загружаем .env и конфиги из CONFIG/prod
2026-05-30 23:22:25 | ERROR | bot | ❌ TG_BOT_TOKEN не задан! Бот не может быть запущен.
2026-05-30 23:38:33 | INFO | bot | 🔧 Режим: [TEST/SANDBOX]. Загружаем .env.test и конфиги из CONFIG/test
2026-05-30 23:38:34 | INFO | bot | [SANDBOX_TEST] 🤖 Telegram бот запускает polling...
2026-05-30 23:39:47 | ERROR | api | [SANDBOX_TEST] API Request Failed (GET /g-accounts/accountPositions): HTTP 401: {"code": "401","msg": "401 Failed to load API KEY."}
2026-05-30 23:39:47 | ERROR | tg_bot | [SANDBOX_TEST] Error fetching active positions: Private API request failed: HTTP 401: {"code": "401","msg": "401 Failed to load API KEY."}
2026-05-30 23:40:05 | INFO | bot | [SANDBOX_TEST] 🧹 Завершение работы приложения, очистка ресурсов...
2026-05-30 23:44:31 | INFO | bot | 🔧 Режим: [TEST/SANDBOX]. Загружаем .env.test и конфиги из CONFIG/test
2026-05-30 23:44:31 | INFO | bot | [SANDBOX_TEST] 🤖 Telegram бот запускает polling...
2026-05-31 00:00:02 | ERROR | api | [SANDBOX_TEST] API Request Failed (GET /g-accounts/accountPositions): HTTP 401: {"code": "401","msg": "401 Failed to load API KEY."}
2026-05-31 00:00:02 | ERROR | tg_bot | [SANDBOX_TEST] Error fetching active positions: Private API request failed: HTTP 401: {"code": "401","msg": "401 Failed to load API KEY."}
2026-05-31 00:00:35 | INFO | bot | [SANDBOX_TEST] 🧹 Завершение работы приложения, очистка ресурсов...
2026-05-31 00:12:06 | INFO | bot | 🔥 Режим: [PRODUCTION]. Загружаем .env и конфиги из CONFIG/prod
2026-05-31 00:12:06 | ERROR | bot | ❌ TG_BOT_TOKEN не задан! Бот не может быть запущен.
2026-05-31 00:15:05 | INFO | bot | 🔧 Режим: [TEST/SANDBOX]. Загружаем .env.test и конфиги из CONFIG/test
2026-05-31 00:15:06 | INFO | bot | 🤖 Telegram бот запускает polling...
2026-05-31 00:15:16 | WARNING | tg_bot | Failed to fetch active orders for IRYSUSDT: 'str' object has no attribute 'get'
2026-05-31 00:15:17 | ERROR | api | API Request Failed (GET /g-orders/activeList): Phemex Error [10002]: OM_ORDER_NOT_FOUND
2026-05-31 00:15:17 | WARNING | tg_bot | Failed to fetch active orders for PRLUSDT: Private API request failed: Phemex Error [10002]: OM_ORDER_NOT_FOUND
2026-05-31 00:15:17 | WARNING | tg_bot | Failed to fetch active orders for LYNUSDT: Private API request failed: Phemex Error [10002]: OM_ORDER_NOT_FOUND
2026-05-31 00:15:17 | ERROR | api | API Request Failed (GET /g-orders/triggerList): HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-31 00:15:17 | WARNING | tg_bot | Failed to fetch conditional orders for IRYSUSDT: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-31 00:15:18 | WARNING | tg_bot | Failed to fetch conditional orders for LYNUSDT: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-31 00:15:18 | WARNING | tg_bot | Failed to fetch conditional orders for PRLUSDT: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-31 00:17:44 | INFO | bot | 🧹 Завершение работы приложения, очистка ресурсов...
2026-05-31 00:23:25 | INFO | bot | 🔧 Режим: [TEST/SANDBOX]. Загружаем .env.test и конфиги из CONFIG/test
2026-05-31 00:23:26 | INFO | bot | 🤖 Telegram бот запускает polling...
2026-05-31 00:24:53 | INFO | bot | 🧹 Завершение работы приложения, очистка ресурсов...
